,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,What are your top motivations for going to Clifton Beach? You can select up to 3,Which one of the following statements apply to you?,How do you feel regarding the caretaking and evolution of Clifton beach?
364,231,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
365,231dup,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,,"Celebrating (personal milestones, special occasions, etc)",,
366,231dup,15 - 24 years,Female,"200,001 and above",North Nazimabad Town,,"Commerce (for work, for shopping, for restaurants, etc)",,
367,232,25 - 44 years,Male,"200,001 and above",Shah Faisal,Often (multiple times in a year),Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
368,232dup,25 - 44 years,Male,"200,001 and above",Shah Faisal,,"Relief (from climate, from stresses, etc)",,
369,233,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
370,234,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
371,234dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
372,234dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
373,235,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
374,235dup,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,,"Activity (exercising, sports, running, etc)",,
375,235dup,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,,"Relief (from climate, from stresses, etc)",,
376,236,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
377,236dup,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
378,236dup,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,Tourism,,
379,237,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
380,237dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
381,237dup,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
382,238,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
383,238dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,,Most accessible (public beach closest to urban Karachi),,
384,238dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Faisal Cantonment,,Special events held in the vicinity,,
385,239,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
386,239dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,,"Celebrating (personal milestones, special occasions, etc)",,
387,239dup,15 - 24 years,Male,"100,001 - 125,000 rupees",New Karachi Town,,"Relief (from climate, from stresses, etc)",,
388,240,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
389,240dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
390,241,25 - 44 years,Female,"50,001 - 75,000 rupees",Faisal Cantonment,Not often - I prefer other beaches,,I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
391,242,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
392,242dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
393,242dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
394,243,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
395,243dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
396,243dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
397,244,25 - 44 years,Male,"200,001 and above",Outside Karachi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
398,245,25 - 44 years,Male,"100,001 - 125,000 rupees",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
399,246,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Activity (exercising, sports, running, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
400,247,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
401,248,45 years and above,Female,"175,000 - 200,000 rupees",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
402,248dup,45 years and above,Female,"175,000 - 200,000 rupees",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
403,248dup,45 years and above,Female,"175,000 - 200,000 rupees",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
404,249,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
405,249dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,,Most accessible (public beach closest to urban Karachi),,
406,249dup,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,,"Relief (from climate, from stresses, etc)",,
407,250,15 - 24 years,Male,"75,001 - 100,000 rupees",Outside Karachi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
408,251,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
409,251dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,,"Activity (exercising, sports, running, etc)",,
410,251dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
411,252,25 - 44 years,Female,"200,001 and above",Outside Karachi,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
412,252dup,25 - 44 years,Female,"200,001 and above",Outside Karachi,,Tourism,,
413,253,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
414,254,45 years and above,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Frequently (multiple times a month),"Activity (exercising, sports, running, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
415,255,25 - 44 years,Male,Prefer not to answer,Nazimabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
416,255dup,25 - 44 years,Male,Prefer not to answer,Nazimabad,,Most accessible (public beach closest to urban Karachi),,
417,255dup,25 - 44 years,Male,Prefer not to answer,Nazimabad,,Special events held in the vicinity,,
418,256,25 - 44 years,Male,"75,001 - 100,000 rupees",Garden,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
419,256dup,25 - 44 years,Male,"75,001 - 100,000 rupees",Garden,,"Relief (from climate, from stresses, etc)",,
420,257,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
421,257dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
422,257dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
423,258,45 years and above,Female,Prefer not to answer,Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
424,258dup,45 years and above,Female,Prefer not to answer,Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
425,258dup,45 years and above,Female,Prefer not to answer,Gulshan-e-Iqbal,,Tourism,,
426,259,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
427,259dup,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,,Most accessible (public beach closest to urban Karachi),,
428,259dup,25 - 44 years,Male,"200,001 and above",North Nazimabad Town,,"Relief (from climate, from stresses, etc)",,
429,260,45 years and above,Female,"75,001 - 100,000 rupees",,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
430,261,45 years and above,Male,"125,001 - 150,000 rupees",North Nazimabad Town,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
431,261dup,45 years and above,Male,"125,001 - 150,000 rupees",North Nazimabad Town,,"Celebrating (personal milestones, special occasions, etc)",,
432,261dup,45 years and above,Male,"125,001 - 150,000 rupees",North Nazimabad Town,,Special events held in the vicinity,,
433,262,45 years and above,Male,"200,001 and above",North Nazimabad Town,Not often (few times in many years),Tourism,I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
434,263,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
435,263dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
436,264,45 years and above,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,Most accessible (public beach closest to urban Karachi),I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
437,265,25 - 44 years,Female,"150,001 - 175,000 rupees",Gulberg,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
438,265dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Gulberg,,Most accessible (public beach closest to urban Karachi),,
439,265dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Gulberg,,"Celebrating (personal milestones, special occasions, etc)",,
440,266,25 - 44 years,Female,"200,001 and above",Outside Karachi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
441,266dup,25 - 44 years,Female,"200,001 and above",Outside Karachi,,Most accessible (public beach closest to urban Karachi),,
442,266dup,25 - 44 years,Female,"200,001 and above",Outside Karachi,,"Relief (from climate, from stresses, etc)",,
443,267,45 years and above,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
444,267dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
445,268,25 - 44 years,Female,"200,001 and above",Ferozabad,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
446,268dup,25 - 44 years,Female,"200,001 and above",Ferozabad,,Most accessible (public beach closest to urban Karachi),,
447,268dup,25 - 44 years,Female,"200,001 and above",Ferozabad,,"Commerce (for work, for shopping, for restaurants, etc)",,
448,269,25 - 44 years,Male,"100,001 - 125,000 rupees",Malir Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
449,269dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Malir Cantonment,,Most accessible (public beach closest to urban Karachi),,
450,269dup,25 - 44 years,Male,"100,001 - 125,000 rupees",Malir Cantonment,,"Relief (from climate, from stresses, etc)",,
451,270,25 - 44 years,Female,"175,000 - 200,000 rupees",Korangi,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
452,270dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Korangi,,Most accessible (public beach closest to urban Karachi),,
453,270dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Korangi,,"Relief (from climate, from stresses, etc)",,
454,271,15 - 24 years,Male,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Celebrating (personal milestones, special occasions, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
455,272,15 - 24 years,Female,"125,001 - 150,000 rupees",Outside Karachi,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
456,272dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Outside Karachi,,"Relief (from climate, from stresses, etc)",,
457,272dup,15 - 24 years,Female,"125,001 - 150,000 rupees",Outside Karachi,,Tourism,,
458,273,15 - 24 years,Male,"175,000 - 200,000 rupees",Shah Faisal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
459,273dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Shah Faisal,,Most accessible (public beach closest to urban Karachi),,
460,273dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Shah Faisal,,"Relief (from climate, from stresses, etc)",,
461,274,15 - 24 years,Male,"200,001 and above",North Nazimabad Town,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,
462,274dup,15 - 24 years,Male,"200,001 and above",North Nazimabad Town,,Most accessible (public beach closest to urban Karachi),,
463,274dup,15 - 24 years,Male,"200,001 and above",North Nazimabad Town,,"Relief (from climate, from stresses, etc)",,
464,275,45 years and above,Male,"200,001 and above",Saddar,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
465,276,25 - 44 years,Male,"200,001 and above",,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
466,277,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
467,277dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
468,278,25 - 44 years,Male,"100,001 - 125,000 rupees",Gulzar-e-Hijri,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
469,279,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
470,279dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Special events held in the vicinity,,
471,280,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
472,280dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
473,280dup,15 - 24 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
474,281,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
475,281dup,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,,"Celebrating (personal milestones, special occasions, etc)",,
476,281dup,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
477,282,25 - 44 years,Female,"50,001 - 75,000 rupees",North Nazimabad Town,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
478,283,45 years and above,Male,"125,001 - 150,000 rupees",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
479,284,15 - 24 years,Female,"75,001 - 100,000 rupees",Ferozabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
480,284dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Ferozabad,,Most accessible (public beach closest to urban Karachi),,
481,284dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Ferozabad,,"Relief (from climate, from stresses, etc)",,
482,285,25 - 44 years,Male,"50,001 - 75,000 rupees",Civil Lines,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
483,285dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Civil Lines,,Most accessible (public beach closest to urban Karachi),,
484,285dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Civil Lines,,"Relief (from climate, from stresses, etc)",,
485,286,25 - 44 years,Male,"200,001 and above",Outside Karachi,Frequently (multiple times a month),"Relief (from climate, from stresses, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
486,286dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,,"Commerce (for work, for shopping, for restaurants, etc)",,
487,286dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,,Special events held in the vicinity,,
488,287,25 - 44 years,Female,"200,001 and above",Karachi Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
489,287dup,25 - 44 years,Female,"200,001 and above",Karachi Cantonment,,"Relief (from climate, from stresses, etc)",,
490,287dup,25 - 44 years,Female,"200,001 and above",Karachi Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
491,288,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
492,288dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
493,288dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
494,289,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
495,290,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Often (multiple times in a year),Most accessible (public beach closest to urban Karachi),I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
496,291,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulzar-e-Hijri,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
497,291dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulzar-e-Hijri,,"Celebrating (personal milestones, special occasions, etc)",,
498,291dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulzar-e-Hijri,,"Relief (from climate, from stresses, etc)",,
499,292,25 - 44 years,Female,"200,001 and above",Gulberg,Often (multiple times in a year),"Relief (from climate, from stresses, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
500,293,25 - 44 years,Female,"175,000 - 200,000 rupees",Saddar,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
501,293dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Saddar,,Most accessible (public beach closest to urban Karachi),,
502,293dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Saddar,,"Relief (from climate, from stresses, etc)",,
503,294,25 - 44 years,Female,Prefer not to answer,Civil Lines,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
504,294dup,25 - 44 years,Female,Prefer not to answer,Civil Lines,,Most accessible (public beach closest to urban Karachi),,
505,294dup,25 - 44 years,Female,Prefer not to answer,Civil Lines,,"Relief (from climate, from stresses, etc)",,
506,295,25 - 44 years,Male,"100,001 - 125,000 rupees",Malir Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
507,296,25 - 44 years,Female,Prefer not to answer,Faisal Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
508,296dup,25 - 44 years,Female,Prefer not to answer,Faisal Cantonment,,"Celebrating (personal milestones, special occasions, etc)",,
509,296dup,25 - 44 years,Female,Prefer not to answer,Faisal Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
510,297,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Activity (exercising, sports, running, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
511,298,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
512,298dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
513,299,25 - 44 years,Male,"200,001 and above",Malir Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
514,299dup,25 - 44 years,Male,"200,001 and above",Malir Cantonment,,Most accessible (public beach closest to urban Karachi),,
515,299dup,25 - 44 years,Male,"200,001 and above",Malir Cantonment,,"Relief (from climate, from stresses, etc)",,
516,300,45 years and above,Male,"175,000 - 200,000 rupees",Clifton Cantonment,Often (multiple times in a year),Most accessible (public beach closest to urban Karachi),I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
517,301,25 - 44 years,Male,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
518,302,25 - 44 years,Female,"200,001 and above",Jamshed Quarters,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
519,302dup,25 - 44 years,Female,"200,001 and above",Jamshed Quarters,,"Commerce (for work, for shopping, for restaurants, etc)",,
520,302dup,25 - 44 years,Female,"200,001 and above",Jamshed Quarters,,Special events held in the vicinity,,
521,303,25 - 44 years,Female,"125,001 - 150,000 rupees",North Nazimabad Town,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
522,303dup,25 - 44 years,Female,"125,001 - 150,000 rupees",North Nazimabad Town,,Most accessible (public beach closest to urban Karachi),,
523,303dup,25 - 44 years,Female,"125,001 - 150,000 rupees",North Nazimabad Town,,"Relief (from climate, from stresses, etc)",,
524,304,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
525,304dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
526,304dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
527,305,25 - 44 years,Prefer not to answer,"25,001 - 50,000 rupees",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
528,305dup,25 - 44 years,Prefer not to answer,"25,001 - 50,000 rupees",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
529,305dup,25 - 44 years,Prefer not to answer,"25,001 - 50,000 rupees",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
530,306,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
531,306dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
532,306dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
533,307,15 - 24 years,Male,Prefer not to answer,Orangi,Not often - I prefer other beaches,Tourism,,Negatively - I feel a sense of frustration and/or loss
534,308,15 - 24 years,Female,"100,001 - 125,000 rupees",Liaquatabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
535,308dup,15 - 24 years,Female,"100,001 - 125,000 rupees",Liaquatabad,,"Relief (from climate, from stresses, etc)",,
536,309,25 - 44 years,Male,"Up to 25,000 rupees",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
537,310,15 - 24 years,Female,"175,000 - 200,000 rupees",Garden,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
538,310dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Garden,,Most accessible (public beach closest to urban Karachi),,
