Timestamp,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,How do you get to Clifton Beach most of the time?,What are your top motivations for going to Clifton Beach? You can select up to 3,Where do you access the beach from most of the time?,Which of the two statements do you agree with more?,Which one of the following statements apply to you?,What are your top priorities for Clifton Beach in the next year? You can select up to 3.,How do you feel regarding the caretaking and evolution of Clifton beach?,What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?,"In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?,What is your most favourite place in Karachi?,"If you had unlimited funds, how would you change Clifton Beach?",Do you like going to the beach? Why if you do? Why not if you do not?,Do you feel safe while at the beach?,"If yes, then at what time of the day?","If not, why?",On what days do you prefer going to the beach?,At what time are you most likely to visit the beach?,How long do you spend at the beach?,How do you rate the following facilities? [Seating],How do you rate the following facilities? [Cleanliness],How do you rate the following facilities? [Shading Devices],How do you rate the following facilities? [Public Washrooms],How do you rate the following facilities? [Recreational Amenities],How do you rate the following facilities? [Lighting],How do you rate the following facilities? [Pathways/Walking Infrastructure],How do you rate the following facilities? [First Aid],What kind of company do you prefer when at the beach?,Have you ever made any new friends at the beach?
2021/04/01 8:19:38 am GMT-4,15 - 24 years,Female,Prefer not to answer,North Nazimabad Town,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Relief (from climate, from stresses, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc)",Positively - There are several welcome developmental changes,safe,Important,"Visit a park for a walks or leisure;Visit a fair (books, food, crafts);Visit an outdoors bazaar;Visit an indoors bazaar/mall",Indifferent,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/02 1:34:45 am GMT-4,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Commerce (for work, for shopping, for restaurants, etc)",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),Some people may be restricted or charged to visit some places at Clifton beach,I feel safe visiting the beach by myself at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Natural Areas (like: forests, gardens, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,Most of the areas of the beach should be for families and some days and timings should be set for physical activities. Centers should be made dedicated to Marine Life conservation and knowledge. A public body should be made where the common citizen can be a member with volunteers with jobs. Vegetation should be improved and increased. Especially trees should be planted. ,Important,"Visit museums, galleries; Visit cultural events on the street or at public squares;Visit a park for a walks or leisure; Attend sporting events as a spectator;Visit a fair (books, food, crafts);Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/02 2:15:40 pm GMT-4,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,Cleanliness and less crowd,Important,"Visit monuments, historic sites;Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Visit a fair (books, food, crafts);Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/02 6:06:24 pm GMT-4,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Not often - I prefer other beaches,Private vehicle,"Commerce (for work, for shopping, for restaurants, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Commerce (like: restaurants, bazaars, malls, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,Cleanliness,Important,Visit a park for a walks or leisure,No - I do not trust them,No - I do not wish to participate,,,,,,,,,,,,,,,,,,,
2021/04/02 6:16:33 pm GMT-4,25 - 44 years,Male,"150,001 - 175,000 rupees",Clifton Cantonment,Not often - I prefer other beaches,Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",Negatively - I feel a sense of frustration and/or loss,privacy and clean water ,Important,"Visit museums, galleries;Visit conferences, seminars (outside of institutional requirements);Visit cultural events on the street or at public squares;Practice some sport of physical activity on a regular basis;Visit a theatre (play, movies);Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",Yes - I trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/02 7:07:33 pm GMT-4,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),Private vehicle,"Most accessible (public beach closest to urban Karachi);Commerce (for work, for shopping, for restaurants, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,"Visit museums, galleries;Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a theatre (play, movies);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/04 1:27:24 am GMT-4,15 - 24 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc)",Clifton Beach Parking Lot,Some people may be restricted or charged to visit some places at Clifton beach,I only visit the beach with company and only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,To not dump trash and sewage. One of top motivations to go to the beach: Beach cleanup,Important,"Visit monuments, historic sites;Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/05 1:20:10 pm GMT-4,15 - 24 years,Female,Prefer not to answer,NULL,Not often - I prefer other beaches,Private vehicle,Most accessible (public beach closest to urban Karachi),Clifton Beach Parking Lot,Some people may be restricted or charged to visit some places at Clifton beach,I only visit the beach with company and only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Safety: be able to visit the beach without being mugged or harassed",Positively - There are several welcome developmental changes,Cleanliness and safety,Important,NULL,Indifferent,NULL,,,,,,,,,,,,,,,,,,,
2021/04/06 1:08:23 am GMT-4,15 - 24 years,Female,Prefer not to answer,New Karachi Town,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Positively - There are several welcome developmental changes,Clean,Important,Visit a park for a walks or leisure;Visit an outdoors bazaar;Visit an indoors bazaar/mall,No - I do not trust them,No - I do not wish to participate,,,,,,,,,,,,,,,,,,,
2021/04/09 1:31:11 pm GMT-4,Below 15 years,Female,,Jamshed Quarters,Often (multiple times in a year),Private vehicle,"Celebrating (personal milestones, special occasions, etc)",,Some people may be restricted or charged to visit some places at Clifton beach,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,,,"Visit a natural area (hills, lakes, mangroves, etc)",Indifferent,No - I do not wish to participate,Clifton,Mei Clean karo ghi Clifton ko,Mujhe Samandar jaana pasand ha q ka mujhe panic wali jagha bohot pasand ha aur samandar jany mei bohot maza at ha samandar mei hum bohot enjoy krty ha aur bilkul fresh fell krty ha ,,,,,,,,,,,,,,,,
2021/04/09 1:36:11 pm GMT-4,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Not often - I prefer other beaches,Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself but only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",Negatively - I feel a sense of frustration and/or loss,"Just let the beach be. Clean it and please dont add the high maintenance grassy spaces. Educate visitors. We need to train our public in taking responsibility for the spaces they visit. Adding a useless fish shaped fancy dustbin is not the solution. Unfortunately, People littering should also be fined! Bike lane is a welcome addition but needs to be developed somehow into a loop. For now it can be used for kids only maybe. Please please clear the service lane of the huge parking only adding fumes And ugliness to the seascape. If only there was some shuttle service for sea view, maybe this much traffic can be avoided.",Important,Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit an outdoors bazaar;Visit an indoors bazaar/mall,No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/09 10:00:52 am GMT-4,25 - 44 years,Male,"Up to 25,000 rupees",Korangi,Frequently (multiple times a month),Walking,"Activity (exercising, sports, running, etc);Relief (from climate, from stresses, etc);Tourism",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Positively - There are several welcome developmental changes,Rest,Important,Participate in a protest,No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/09 10:02:51 am GMT-4,Below 15 years,Female,,Gulshan-e-Iqbal,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc)",,"Clifton beach must be freely accessible, without charge and entry limitations",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,"Visit museums, galleries;Visit an indoors bazaar/mall",No - I do not trust them,No - I do not wish to participate,Pavillion club,Garbage,Samandar hai q kai waha pani hai,,,,,,,,,,,,,,,,
2021/04/09 10:11:22 am GMT-4,Below 15 years,Female,,Jamshed Quarters,Not often (few times in many years),Public transit,"Leisure (walking, being with loved ones, etc)",,Some people may be restricted or charged to visit some places at Clifton beach,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,,,,Indifferent,No - I would like the opportunities to participate,Sea View,Main wanhan safai karwaoungi gi kuch restrictions lagaoon gi or shayad kids playing area banaoon,I love to go beach because i love water and i love enjoying in water and rides on camel and love to eat street food just because i am not prefer to much because in karachi beach there is to much garbage and dirtyness.,,,,,,,,,,,,,,,,
2021/04/09 10:23:26 am GMT-4,15 - 24 years,Male,"125,001 - 150,000 rupees",Outside Karachi,Not often (few times in many years),For-hire vehicle,"Relief (from climate, from stresses, etc);Tourism",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,Cleanliness,Important,"Visit monuments, historic sites;Visit a park for a walks or leisure;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/09 10:29:18 am GMT-4,Below 15 years,Female,,Gulshan-e-Iqbal,Not often (few times in many years),For-hire vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi)",,,,"Amenities (like: washrooms, washing areas, lockers, etc);Natural areas (like: forests, gardens, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,,,Practice some sport of physical activity on a regular basis,Indifferent,Yes - I will not participate again,,Make public toilet and restaurant ,,,,,,,,,,,,,,,,,
2021/04/09 10:34:16 am GMT-4,Below 15 years,Female,,Garden,I have never been to Clifton beach,Public transit,,,"Clifton beach must be freely accessible, without charge and entry limitations",,,,,,Visit an outdoors bazaar,Indifferent,No - I do not wish to participate,"Clifton, Tomb of Quaid, Hill Park, PAF Museum, Portgrand, Kimari, Karachi Zoo",Agr kabhi aisa huwa to me awam ko har sahulat muyassar krungi ,Pasand h q k wahan ja kr hum relax feel krte hain or hum wahan k manazir se lutf andoz hote hain or hame apne allah ka shukr ada krna chahiye k usne hame samandar jaisi khoobsurat naimat se nawaza h,,,,,,,,,,,,,,,,
2021/04/09 10:41:56 pm GMT-4,25 - 44 years,Female,"200,001 and above",North Nazimabad Town,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Celebrating (personal milestones, special occasions, etc)",Clifton Beach Parking Lot,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,NULL,No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/09 10:41:59 am GMT-4,Below 15 years,Female,,Gulshan-e-Iqbal,Not often (few times in many years),For-hire vehicle,"Activity (exercising, sports, running, etc);Relief (from climate, from stresses, etc)",,,,"Amenities (like: washrooms, washing areas, lockers, etc);Commerce (like: restaurants, bazaars, malls, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,,,Practice some sport of physical activity on a regular basis,Indifferent,Yes - I would like more opportunities to participate,,Washroom and  restaurants ,,,,,,,,,,,,,,,,,
2021/04/09 10:45:47 am GMT-4,15 - 24 years,Male,"50,001 - 75,000 rupees",Clifton Cantonment,Not often (few times in many years),Private vehicle,Most accessible (public beach closest to urban Karachi),McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Negatively - I feel a sense of frustration and/or loss,Cleanliness and a family section,Indifferent,"Attend sporting events as a spectator;Visit a theatre (play, movies);Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/09 10:48:25 am GMT-4,Below 15 years,Female,,Liaquatabad,Not often (few times in many years),Chartered bus for trip to beach,"Leisure (walking, being with loved ones, etc);Relief (from climate, from stresses, etc)",,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Commerce (like: restaurants, bazaars, malls, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,"Visit museums, galleries",Indifferent,No - I would like the opportunities to participate,Clifton ,,G passand hai because enjoyment ky liy,,,,,,,,,,,,,,,,
2021/04/09 10:48:30 am GMT-4,Below 15 years,Female,,Liaquatabad,Not often (few times in many years),Chartered bus for trip to beach,"Leisure (walking, being with loved ones, etc);Relief (from climate, from stresses, etc)",,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Commerce (like: restaurants, bazaars, malls, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,"Visit museums, galleries",Indifferent,No - I would like the opportunities to participate,Clifton ,,G passand hai because enjoyment ky liy,,,,,,,,,,,,,,,,
2021/04/09 10:48:43 am GMT-4,Below 15 years,Female,,Gulshan-e-Iqbal,Frequently (multiple times a month),For-hire vehicle,"Activity (exercising, sports, running, etc)",,Some people may be restricted or charged to visit some places at Clifton beach,,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc)",,,,"Visit museums, galleries;Visit monuments, historic sites;Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Visit a musical/dancing event (not including weddings);Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,Yes - I will not participate again,Sea View,Ager mary pass beshumar paisy hoon to   I clean clifton and I fit the light in hole clifton,I like seaside because I feel peace,,,,,,,,,,,,,,,,
2021/04/09 10:56:21 am GMT-4,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),Private vehicle,"Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc);Special events held in the vicinity",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself at any time during the day,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,"Visit conferences, seminars (outside of institutional requirements);Visit a park for a walks or leisure;Attend sporting events as a spectator;Visit a musical/dancing event (not including weddings);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/09 11:07:32 am GMT-4,Below 15 years,Female,,New Karachi Town,Often (multiple times in a year),Public transit,"Activity (exercising, sports, running, etc)",,Some people may be restricted or charged to visit some places at Clifton beach,,"Amenities (like: washrooms, washing areas, lockers, etc)",,,,,,,,,Pasand ha q ka va par environment achi ha,,,,,,,,,,,,,,,,
2021/04/09 11:09:45 am GMT-4,Below 15 years,Female,,Garden,Often (multiple times in a year),For-hire vehicle,"Activity (exercising, sports, running, etc);Relief (from climate, from stresses, etc)",,Some people may be restricted or charged to visit some places at Clifton beach,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Commerce (like: restaurants, bazaars, malls, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,,,"Visit conferences, seminars (school requirements ke bahir)",No - I do not trust them,No - I would like the opportunities to participate,Clifton,,Yes i love beaches bcz i enjoyed it place,,,,,,,,,,,,,,,,
2021/04/09 11:18:28 pm GMT-4,Below 15 years,Female,,Gulshan-e-Iqbal,I have never been to Clifton beach,,,,"Clifton beach must be freely accessible, without charge and entry limitations",,"Built-up areas (like: housing, offices, amusement parks, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,"Visit museums, galleries;Visit monuments, historic sites;Visit a theatre (play, movies);Visit a fair (books, food, crafts);Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar",No - I do not trust them,Yes - I would like more opportunities to participate,Tomb of Quaid ,I will clean it!,G nhi pasand mujhe pani say dar lagta hai,,,,,,,,,,,,,,,,
2021/04/09 11:46:14 am GMT-4,Below 15 years,Female,,Garden,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Celebrating (personal milestones, special occasions, etc)",,"Clifton beach must be freely accessible, without charge and entry limitations",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,,,Visit a park for a walks or leisure;Visit an outdoors bazaar;Visit an indoors bazaar/mall,No - I do not trust them,Yes - I would like more opportunities to participate,Parks,Cleanless  kalea ,G pasand ha because waha pa har chez natural hoti ha ,,,,,,,,,,,,,,,,
2021/04/09 11:59:41 am GMT-4,Below 15 years,Female,,Jamshed Quarters,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Tourism",,Some people may be restricted or charged to visit some places at Clifton beach,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,,,"Visit a park for a walks or leisure;Visit a theatre (play, movies);Visit a fair (books, food, crafts);Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",Indifferent,No - I would like the opportunities to participate,Turtle beach and Portgrand ,Cleanliness and Safety for tourists,"I love to go to Beaches because, walking on sand & watching the waves has an extremely calming effect on me. Just watching the sun go down over the sea is simply breathtaking. It is also a great time for self refection and introspection.",,,,,,,,,,,,,,,,
2021/04/09 12:20:37 pm GMT-4,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc);Most accessible (public beach closest to urban Karachi);Relief (from climate, from stresses, etc)",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",Positively - There are several welcome developmental changes,"It's accessible, it's public, it's lively, it's The Beach. It's upsetting that notions of class so heavily govern who can and cannot access the beach. I was a student at SZABIST and would often be scoffed at for wanting to go to sea view for 3 hours class breaks and instead folks would want to book beach huts away from the city and visit the sea once in a few months instead of building a living, healthy, personal connection to the beach right beside their houses/uni. I understand that sewerage water is a HUGE part of why people dont want to acess teh beach and thats valid. City governance is the issue. we have little say in how sewerage is constructed and managed so that should be fixed for all. Especially folks who cannot afford to book beach huts away from the city. ",Important,"Visit monuments, historic sites;Visit cultural events on the street or at public squares;Visit a park for a walks or leisure;Practice some sport of physical activity on a regular basis;Visit a fair (books, food, crafts);Participate in a protest;Visit an outdoors bazaar;Visit an indoors bazaar/mall;Visit a natural area (hills, lakes, mangroves, etc)",No - I do not trust them,Yes - I would like more opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/09 12:31:37 pm GMT-4,Below 15 years,Female,,Gadap,Not often (few times in many years),For-hire vehicle,"Activity (exercising, sports, running, etc);Celebrating (personal milestones, special occasions, etc);Special events held in the vicinity",,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Built-up areas (like: housing, offices, amusement parks, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,,,Visit an indoors bazaar/mall,Indifferent,No - I would like the opportunities to participate,Sea View,Safai,,,,,,,,,,,,,,,,,
2021/04/09 12:59:23 pm GMT-4,25 - 44 years,Male,Prefer not to answer,Outside Karachi,Not often (few times in many years),Private vehicle,Most accessible (public beach closest to urban Karachi),Dolmen Mall,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company and only before sunset,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,Visit an indoors bazaar/mall,No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/09 2:36:06 pm GMT-4,Below 15 years,Female,,Korangi,I have never been to Clifton beach,Private vehicle,"Celebrating (personal milestones, special occasions, etc)",,"Clifton beach must be freely accessible, without charge and entry limitations",,"Built-up areas (like: housing, offices, amusement parks, etc)",,,,"Visit monuments, historic sites",Yes - I trust them,No - I would like the opportunities to participate,Sea View,Nothing,Mughy samander jana passand h...Q k wahan taza or saff air hoti h...,,,,,,,,,,,,,,,,
2021/04/09 3:18:35 pm GMT-4,45 years and above,Male,"200,001 and above",Faisal Cantonment,Often (multiple times in a year),Private vehicle,"Most accessible (public beach closest to urban Karachi);Commerce (for work, for shopping, for restaurants, etc);Special events held in the vicinity",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,"Clean, accessible at any time, lights, seats, and all above.",Important,Practice some sport of physical activity on a regular basis;Visit an indoors bazaar/mall,No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/09 5:04:06 pm GMT-4,25 - 44 years,Male,"100,001 - 125,000 rupees",North Nazimabad Town,Not often (few times in many years),Private vehicle,Most accessible (public beach closest to urban Karachi),Dolmen Mall,"Clifton beach must be freely accessible, without charge and entry limitations",I only visit the beach with company at any time during the day,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc)",Negatively - I feel a sense of frustration and/or loss,NULL,Important,"Visit a park for a walks or leisure;Visit a fair (books, food, crafts);Visit a religious building (mosque, church, temple, etc);Visit an outdoors bazaar;Visit an indoors bazaar/mall",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
2021/04/09 7:38:49 pm GMT-4,25 - 44 years,Female,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),Private vehicle,"Celebrating (personal milestones, special occasions, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",I feel safe visiting the beach by myself but only before sunset,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Commerce (like: restaurants, bazaars, malls, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",Negatively - I feel a sense of frustration and/or loss,cleanliness,Important,"Visit museums, galleries;Participate in a protest;Visit a community centre",No - I do not trust them,No - I would like the opportunities to participate,,,,,,,,,,,,,,,,,,,
